Formula,Formula units per cell,Atomic sites per cell,Crystal system,Formation energy (eV/atom),Energy relative to convex hull (eV/atom),Structure search,Averaged magnetic moment (μB/atom),"Magnetic polarization, Js</(T)",Magnetic easy axis,Magnetic anisotropy constants:Ka-c,Magnetic anisotropy constants:Kb-c (MJ/m3),Magnetic anisotropy constants:Kb-a (MJ/m3),Magnetic anisotropy constants:Kd-a (MJ/m3),"Curie temperature, TC(K)",Methods,References
FeCo2N,4,16,orthorhombic,0.016,0.083,AGA search,0.99,1.17,a,-1.63,-0.46,1.17,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
FeCo2N,4,16,monoclinic,0.018,0.084,AGA search,0.92,1.09,b,-0.83,-0.98,-0.15,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
FeCo2N,4,16,orthorhombic,0.04,0.107,AGA search,1.14,1.33,c,1.64,2.17,0.53,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe3Co3N2,1,8,triclinic,-0.005,0.079,AGA search,1.06,1.25,.,.,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe3Co3N2,2,16,orthorhombic,0.009,0.093,AGA search,1.2,1.4,c,2.16,2.02,-0.15,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe3Co3N2,2,16,orthorhombic,0.012,0.096,AGA search,1.37,1.59,c,2.21,2.14,-0.08,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe2CoN,4,16,monoclinic,-0.028,0.073,AGA search,1.28,1.5,a,-1.36,-1.3,0.06,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe2CoN,4,16,orthorhombic,-0.009,0.092,AGA search,1.5,1.72,b,1.01,-1.8,-2.81,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe2CoN,4,16,orthorhombic,-0.002,0.099,AGA search,1.4,1.62,c,2.02,2.02,0,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe5CoN2,2,16,monoclinic,-0.047,0.045,AGA search,1.42,1.65,a,-1.08,-0.48,0.6,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe5CoN2,2,16,orthorhombic,-0.015,0.077,AGA search,1.49,1.73,c,1.47,2.56,1.09,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe5CoN2,2,16,orthorhombic,-0.008,0.084,AGA search,1.55,1.77,a,-1.37,-0.3,1.07,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
FeCo7N2,1,10,tetragonal,0.035,0.062,AGA search,1.37,1.54,ab plane,-0.4,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
FeCo7N2,2,20,tetragonal,0.043,0.069,AGA search,1.37,1.55,c,1.62,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
FeCo3N,1,5,cubic,-0.004,0.049,AGA search,1.48,1.66,a,.,.,.,0,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
FeCo3N,4,20,tetragonal,0.011,0.064,AGA search,1.47,1.65,c,1.27,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe3Co5N2,1,10,orthorhombic,-0.024,0.043,AGA search,1.55,1.73,a,-0.07,-0.07,0.01,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe3Co5N2,2,20,tetragonal,-0.011,0.056,AGA search,1.55,1.73,c,0.94,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe3Co5N2,2,20,tetragonal,0.002,0.068,AGA search,1.51,1.7,c,1.58,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe2Co2N,1,5,tetragonal,-0.04,0.041,AGA search,1.6,1.78,ab plane,-0.31,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe2Co2N,4,20,orthorhombic,-0.019,0.062,AGA search,1.58,1.77,c,0.92,0.85,-0.07,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe5Co3N2,1,10,orthorhombic,-0.038,0.056,AGA search,1.65,1.82,a,-0.62,-0.75,-0.13,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe5Co3N2,2,20,tetragonal,-0.025,0.069,AGA search,1.68,1.86,c,2.01,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe3CoN,2,10,orthorhombic,-0.036,0.054,AGA search,1.76,1.92,c,0.23,-0.46,-0.68,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe3CoN,4,20,tetragonal,-0.033,0.057,AGA search,1.73,1.91,c,0.96,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe7CoN2,1,10,tetragonal,-0.037,0.037,AGA search,1.87,2.01,c,0.85,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe7CoN2,2,20,tetragonal,-0.032,0.042,AGA search,1.83,2,c,0.88,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
FeCo4N,4,24,orthorhombic,0.014,0.058,AGA search,1.41,1.57,c,1.09,0.92,-0.17,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
FeCo4N,4,24,orthorhombic,0.025,0.07,AGA search,1.39,1.56,c,0.99,1.02,0.03,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
FeCo4N,2,12,tetragonal,0.028,0.072,AGA search,1.28,1.46,ab plane,-1.89,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe2Co3N,4,24,orthorhombic,-0.012,0.055,AGA search,1.52,1.68,c,1.4,1.24,-0.16,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe2Co3N,4,24,orthorhombic,-0.01,0.057,AGA search,1.52,1.68,c,1.31,1.47,0.15,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe2Co3N,4,24,orthorhombic,-0.009,0.058,AGA search,1.51,1.67,c,1.39,1.89,0.49,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe2Co3N,4,24,orthorhombic,-0.009,0.058,AGA search,1.53,1.68,c,1.18,1.48,0.3,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe2Co3N,4,24,orthorhombic,-0.008,0.059,AGA search,1.51,1.67,c,1.39,1.67,0.28,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe3Co2N,4,24,orthorhombic,-0.018,0.071,AGA search,1.57,1.74,c,0.9,1.09,0.18,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe3Co2N,4,24,orthorhombic,-0.014,0.076,AGA search,1.61,1.78,c,1.65,1.48,-0.17,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe3Co2N,4,24,orthorhombic,-0.014,0.076,AGA search,1.6,1.77,c,0.88,1.05,0.17,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe4CoN,4,24,orthorhombic,-0.018,0.06,AGA search,1.85,1.99,c,1.12,1.15,0.04,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe4CoN,2,12,orthorhombic,-0.014,0.064,AGA search,1.83,1.98,c,0.89,0.88,-0.01,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe4CoN,4,24,orthorhombic,-0.013,0.065,AGA search,1.83,1.97,c,1.47,1.4,-0.07,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
FeCo5N,2,14,tetragonal,0.015,0.053,AGA search,1.49,1.64,c,0.53,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
FeCo5N,2,14,tetragonal,0.022,0.06,AGA search,1.47,1.63,ab plane,-0.01,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
FeCo5N,2,14,tetragonal,0.024,0.062,AGA search,1.46,1.61,ab plane,-0.43,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe2Co4N,2,14,tetragonal,-0.017,0.041,AGA search,1.57,1.72,c,0.54,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe2Co4N,2,14,orthorhombic,-0.012,0.046,AGA search,1.56,1.71,c,0.9,0.97,0.07,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Fe3Co3N,2,14,orthorhombic,-0.019,0.058,AGA search,1.59,1.74,c,0.7,0.71,0.01,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
