Refs.,PCE [%],initial PCE [%],PCE after 200 h test [%],PCE after 100 h test [%],PCE after 1000 h test [%],average visible transmittance [%],Absorber,Absorber blend,Absorber material,Inorganic absorber material,Absorber perovskite,Active material,Bottom material bandgap [eV],Bottom active absorber material,Bottom absorber material,conditions of stability tests,Dye sensitizer,Energy yield in 200 h [Wh cm-2],Energy yield in 1000 h [Wh cm-2],Bandgap [eV],Top material bandgap of tandem solar cell  [eV],Bottom absorber material bandgap [eV],middle and top material bandgap of multijunction solar cell  [eV],fill factor [%],Jsc [mA cm−2],Luminophore and absorber material of solar cell with luminescent concentrator,middle and top absorber material of multijunction solar cell,middle and top absorber of multijunction solar cell,Sensitizing dye,Top absorber material of tandem solar cell,Top absorber of tandem solar cell,Voc [mV]
"X. Lian, J. Chen, Y. Zhang, M. Qin, J. Li, S. Tian, W. Yang, X. Lu, G. Wu, H. Chen, Adv. Funct. Mater. 2019, 29, 1807024.",16.3,,,,,,,,,,FAPb0.7Sn0.3I3,,,,,,,,,1.35,,,,79,26.5,,,,,,,780
"M. Zhang, D. Chi, J. Wang, F. Wu, S. Huang, Sol. Energy 2020, 201, 589.",14.7,,,,,,,,,,FA0.3MA0.7Pb0.7Sn0.3I3,,,,,,,,,1.37,,,,73.6,27.1,,,,,,,737
"D. Chi, S. Huang, M. Zhang, S. Mu, Y. Zhao, Y. Chen, J. You, Adv. Funct. Mater. 2018, 28, 1804603.",17.3,,,,,,,,,,FAPb0.75Sn0.25I3,,,,,,,,,1.38,,,,75.4,28.2,,,,,,,810
"H. L. Zhu, J. Xiao, J. Mao, H. Zhang, Y. Zhao, W. C. H. Choy, Adv. Funct. Mater. 2017, 27, 1605469.",15.2,,,,,,,,,,MAPb0.75Sn0.25I3,,,,,,,,,1.38,,,,72.5,26.2,,,,,,,800
"X. Zhou, L. Zhang, X. Wang, C. Liu, S. Chen, M. Zhang, X. Li, W. Yi, B. Xu, Adv. Mater. 2020, 32, 1908107.",20.6,,,,,,,,,,FA0.7MA0.3Pb0.7Sn0.3I3,,,,,,,,,1.39,,,,76,26.6,,,,,,,1020
"B. Zhao, M. Abdi-Jalebi, M. Tabachnyk, H. Glass, V. S. Kamboj, W. Nie, A. J. Pearson, Y. Puttisong, K. C. Gödel, H. E. Beere, D. A. Ritchie, A. D. Mohite, S. E. Dutton, R. H. Friend, A. Sadhanala, Adv. Mater. 2017, 29, 1604744.",8.2,,,,,,,,,,MAPb0.6Sn0.4I3,,,,,,,,,1.4,,,,61.8,17.8,,,,,,,745
"P. Wang, F. Li, K.-J. Jiang, Y. Zhang, H. Fan, Y. Zhang, Y. Miao, J.-H. Huang, C. Gao, X. Zhou, F. Wang, L.-M. Yang, C. Zhan, Y. Song, Adv. Sci. 2020, 7, 1903047.",7.8,,,,,,,,,,MASnI3,,,,,,,,,1.4,,,,66.2,20.7,,,,,,,570
"D. B. Khadka, Y. Shirai, M. Yanagida, K. Miyano, J. Mater. Chem. C 2020, 8, 2307.",5.9,,,,,,,,,,FA1−xRbxSnI3,,,,,,,,,1.41,,,,60.6,20,,,,,,,487
"Z. Yang, A. Rajagopal, C.-C. Chueh, S. B. Jo, B. Liu, T. Zhao, A. K. Y. Jen, Adv. Mater. 2016, 28, 8990.",14.4,,,,,,,,,,MAPb0.75Sn0.25I3,,,,,,,,,1.42,,,,78,22.4,,,,,,,820
"M. M. Tavakoli, S. M. Zakeeruddin, M. Grätzel, Z. Fan, Adv. Mater. 2018, 30, 1705998.",10.4,,,,,,,,,,MAPb0.7Sn0.3I3,,,,,,,,,1.43,,,,66.4,20.3,,,,,,,772
"T. Wu, X. Liu, X. He, Y. Wang, X. Meng, T. Noda, X. Yang, L. Han, Sci. China Chem. 2020, 63, 107.",10.2,,,,,,,,,,FASnI3,,,,,,,,,1.44,,,,74.7,21.6,,,,,,,630
"T. Wu, X. Liu, X. He, Y. Wang, X. Meng, T. Noda, X. Yang, L. Han, Sci. China Chem. 2020, 63, 107.",9.4,,,,,,,,,,FASnI3,,,,,,,,,1.44,,,,73.4,21.1,,,,,,,606
