Refs.,PCE [%],initial PCE [%],PCE after 200 h test [%],PCE after 100 h test [%],PCE after 1000 h test [%],average visible transmittance [%],Absorber,Absorber blend,Absorber material,Inorganic absorber material,Absorber perovskite,Active material,Bottom material bandgap [eV],Bottom active absorber material,Bottom absorber material,conditions of stability tests,Dye sensitizer,Energy yield in 200 h [Wh cm-2],Energy yield in 1000 h [Wh cm-2],Bandgap [eV],Top material bandgap of tandem solar cell  [eV],Bottom absorber material bandgap [eV],middle and top material bandgap of multijunction solar cell  [eV],fill factor [%],Jsc [mA cm−2],Luminophore and absorber material of solar cell with luminescent concentrator,middle and top absorber material of multijunction solar cell,middle and top absorber of multijunction solar cell,Sensitizing dye,Top absorber material of tandem solar cell,Top absorber of tandem solar cell,Voc [mV]
"C. Roldán-Carmona, O. Malinkiewicz, R. Betancur, G. Longo, C. Momblona, F. Jaramillo, L. Camacho, H. J. Bolink, Energy Environ. Sci. 2014, 7, 2968.",7.3,,,,,33,MAPbI3,,,,,,,,,,,,,1.55,,,,52.5,13.4,,,,,,,1037
"H.-C. Kwon, A. Kim, H. Lee, D. Lee, S. Jeong, J. Moon, Adv. Energy Mater. 2016, 6, 1601055.",11.7,,,,,34,MAPbI3−xClx,,,,,,,,,,,,,1.62,,,,74.6,15.9,,,,,,,990
"L. Yuan, Z. Wang, R. Duan, P. Huang, K. Zhang, Q. Chen, N. K. Allam, Y. Zhou, B. Song, Y. Li, J. Mater. Chem. A 2018, 6, 19696.",10.3,,,,,36,MAPbI2Br,,,,,,,,,,,,,1.79,,,,65.5,14.6,,,,,,,1080
"H.-C. Kwon, A. Kim, H. Lee, D. Lee, S. Jeong, J. Moon, Adv. Energy Mater. 2016, 6, 1601055.",10.8,,,,,37,MAPbI3−xClx,,,,,,,,,,,,,1.62,,,,73.1,14.7,,,,,,,1010
"C. O. Ramírez Quiroz, I. Levchuk, C. Bronnbauer, M. Salvador, K. Forberich, T. Heumüller, Y. Hou, P. Schweizer, E. Spiecker, C. J. Brabec, J. Mater. Chem. A 2015, 3, 24071.",7.8,,,,,37,MAPbI3−xClx,,,,,,,,,,,,,1.57,,,,69.6,11.6,,,,,,,970
"J. W. Jung, C.-C. Chueh, A. K. Y. Jen, Adv. Energy Mater. 2015, 5, 1500486.",10.7,,,,,38,MAPbI3,,,,,,,,,,,,,1.63,,,,77.6,13,,,,,,,1060
"L. Yuan, Z. Wang, R. Duan, P. Huang, K. Zhang, Q. Chen, N. K. Allam, Y. Zhou, B. Song, Y. Li, J. Mater. Chem. A 2018, 6, 19696.",8.8,,,,,41,MAPbI1.5Br1.5,,,,,,,,,,,,,1.9,,,,62.2,12.8,,,,,,,1110
"H.-C. Kwon, A. Kim, H. Lee, D. Lee, S. Jeong, J. Moon, Adv. Energy Mater. 2016, 6, 1601055.",10.3,,,,,42,MAPbI3−xClx,,,,,,,,,,,,,1.42,,,,75.6,13.6,,,,,,,1000
"H.-C. Kwon, A. Kim, H. Lee, D. Lee, S. Jeong, J. Moon, Adv. Energy Mater. 2016, 6, 1601055.",8.5,,,,,45,MAPbI3−xClx,,,,,,,,,,,,,1.64,,,,73.5,12.6,,,,,,,960
"C. O. Ramírez Quiroz, I. Levchuk, C. Bronnbauer, M. Salvador, K. Forberich, T. Heumüller, Y. Hou, P. Schweizer, E. Spiecker, C. J. Brabec, J. Mater. Chem. A 2015, 3, 24071.",3.6,,,,,46,MAPbI3−xClx,,,,,,,,,,,,,1.57,,,,64.4,5.4,,,,,,,1030
"S. Bag, M. F. Durstock, Nano Energy 2016, 30, 542.",4.5,,,,,47,MAPbI3,,,,,,,,,,,,,1.63,,,,63,8.2,,,,,,,880
"G. Liu, C. Wu, Z. Zhang, Z. Chen, L. Xiao, B. Qu, Sol. RRL 2020, 4, 2000056.",1.1,,,,,66,Cs2AgBiBr6,,,,,,,,,,,,,2.62,,,,52.9,2.1,,,,,,,1000
"L. Zuo, X. Shi, W. Fu, A. K.-Y. Jen, Adv. Mater. 2019, 31, 1901683.",7.8,,,,,68,FAPbBr2.43Cl0.57,,,,,,,,,,,,,2.35,,,,72,6.7,,,,,,,1550
"G. Liu, C. Wu, Z. Zhang, Z. Chen, L. Xiao, B. Qu, Sol. RRL 2020, 4, 2000056.",1.5,,,,,72,Cs2AgBiBr6,,,,,,,,,,,,,2.62,,,,74.3,2.1,,,,,,,960
"D. Liu, C. Yang, R. R. Lunt, Joule 2018, 2, 1827.",0.2,,,,,72,MAPbCl3,,,,,,,,,,,,,3.03,,,,35.4,0.6,,,,,,,1110
"G. Liu, C. Wu, Z. Zhang, Z. Chen, L. Xiao, B. Qu, Sol. RRL 2020, 4, 2000056.",1.6,,,,,73,Cs2AgBiBr6,,,,,,,,,,,,,2.62,,,,73.1,2.2,,,,,,,970
"D. Liu, C. Yang, R. R. Lunt, Joule 2018, 2, 1827.",0.5,,,,,73,MAPbCl2.4Br0.6,,,,,,,,,,,,,2.84,,,,44.9,0.9,,,,,,,1260
"G. Liu, C. Wu, Z. Zhang, Z. Chen, L. Xiao, B. Qu, Sol. RRL 2020, 4, 2000056.",1.5,,,,,74,Cs2AgBiBr6,,,,,,,,,,,,,2.62,,,,71.1,2.2,,,,,,,970
"K.-S. Chen, J.-F. Salinas, H.-L. Yip, L. Huo, J. Hou, A. K. Y. Jen, Energy Environ. Sci. 2012, 5, 9551.",7.6,,,,,2,,,,,,PBDTTT-C-T:PC71BM,,,,,,,,1.66,,,,63.3,15.6,,,,,,,770
"Z. Hu, Z. Wang, Q. An, F. Zhang, Sci. Bull. 2020, 65, 131.",14.2,,,,,9,,,,,,PM6:Y6,,,,,,,,1.42,,,,72.3,23,,,,,,,854
"K.-S. Chen, J.-F. Salinas, H.-L. Yip, L. Huo, J. Hou, A. K. Y. Jen, Energy Environ. Sci. 2012, 5, 9551.",7.1,,,,,11,,,,,,PBDTTT-C-T:PC71BM,,,,,,,,1.66,,,,64.4,14.5,,,,,,,760
"Z. Hu, Z. Wang, Q. An, F. Zhang, Sci. Bull. 2020, 65, 131.",13.3,,,,,13,,,,,,PM6:Y6,,,,,,,,1.42,,,,71.9,21.7,,,,,,,853
"T. Xiao, J. Wang, S. Yang, Y. Zhu, D. Li, Z. Wang, S. Feng, L. Bu, X. Zhan, G. Lu, J. Mater. Chem. A 2020, 8, 401.",11.1,,,,,14,,,,,,PTB7-Th:FNIC2,,,,,,,,1.45,,,,71.3,21.4,,,,,,,727
"T. Xiao, J. Wang, S. Yang, Y. Zhu, D. Li, Z. Wang, S. Feng, L. Bu, X. Zhan, G. Lu, J. Mater. Chem. A 2020, 8, 401.",8.9,,,,,15,,,,,,PTB7-Th:FNIC1,,,,,,,,1.52,,,,63,18.3,,,,,,,772
"W. Song, B. Fanady, R. Peng, L. Hong, L. Wu, W. Zhang, T. Yan, T. Wu, S. Chen, Z. Ge, Adv. Energy Mater. 2020, 10, 2000136.",12.6,,,,,17,,,,,,PBDB-T-2F:Y6,,,,,,,,1.39,,,,73.2,21.2,,,,,,,810
"W. Song, B. Fanady, R. Peng, L. Hong, L. Wu, W. Zhang, T. Yan, T. Wu, S. Chen, Z. Ge, Adv. Energy Mater. 2020, 10, 2000136.",11.7,,,,,18,,,,,,PBDB-T-2F:Y6,,,,,,,,1.39,,,,69.6,20.7,,,,,,,810
"Z. Hu, Z. Wang, Q. An, F. Zhang, Sci. Bull. 2020, 65, 131.",12.4,,,,,19,,,,,,PM6:Y6,,,,,,,,1.42,,,,71.4,20.4,,,,,,,852
"W. Song, B. Fanady, R. Peng, L. Hong, L. Wu, W. Zhang, T. Yan, T. Wu, S. Chen, Z. Ge, Adv. Energy Mater. 2020, 10, 2000136.",10.5,,,,,21,,,,,,PBDB-T-2F:Y6,,,,,,,,1.39,,,,68.3,19.3,,,,,,,800
"Y. Li, X. Guo, Z. Peng, B. Qu, H. Yan, H. Ade, M. Zhang, S. R. Forrest, Proc. Natl. Acad. Sci. USA 2020, 117, 21147.",11,,,,,25,,,,,,PCE-10:A078,,,,,,,,1.34,,,,70,20.9,,,,,,,750
"M. Yao, T. Li, Y. Long, P. Shen, G. Wang, C. Li, J. Liu, W. Guo, Y. Wang, L. Shen, X. Zhan, Sci. Bull. 2020, 65, 217.",10.2,,,,,25,,,,,,PTB7-Th:FOIC,,,,,,,,1.4,,,,68.3,20.3,,,,,,,736
"Y. Bai, C. Zhao, X. Chen, S. Zhang, S. Zhang, T. Hayat, A. Alsaedi, Z. a. Tan, J. Hou, Y. Li, J. Mater. Chem. A 2019, 7, 15887.",12.9,,,,,26,,,,,,PBDB-T-2F:Y6,,,,,,,,1.4,,,,72.4,21.6,,,,,,,825
"K.-S. Chen, J.-F. Salinas, H.-L. Yip, L. Huo, J. Hou, A. K. Y. Jen, Energy Environ. Sci. 2012, 5, 9551.",5.6,,,,,28,,,,,,PBDTTT-C-T:PC71BM,,,,,,,,1.66,,,,61.9,11.9,,,,,,,760
"R. Xia, C. J. Brabec, H.-L. Yip, Y. Cao, Joule 2019, 3, 2241.",10.8,,,,,30,,,,,,PTB7-Th:IEICO-4F,,,,,,,,1.35,,,,68.7,21.9,,,,,,,718
"M. Yao, T. Li, Y. Long, P. Shen, G. Wang, C. Li, J. Liu, W. Guo, Y. Wang, L. Shen, X. Zhan, Sci. Bull. 2020, 65, 217.",9.1,,,,,34,,,,,,PTB7-Th:FOIC,,,,,,,,1.4,,,,67.1,18.5,,,,,,,733
"Y. Li, C. Ji, Y. Qu, X. Huang, S. Hou, C.-Z. Li, L.-S. Liao, L. J. Guo, S. R. Forrest, Adv. Mater. 2019, 31, 1903173.",8.8,,,,,36,,,,,,PCE-10:BT-CIC:TT-FIC,,,,,,,,1.37,,,,71.9,18,,,,,,,680
"W. Jose da Silva, H. P. Kim, A. Rashid bin Mohd Yusoff, J. Jang, Nanoscale 2013, 5, 9324.",6.9,,,,,36,,,,,,PSEHTT:ICBA,,,,,,,,1.86,,,,66.5,11.6,,,,,,,890
"W. Jose da Silva, H. P. Kim, A. Rashid bin Mohd Yusoff, J. Jang, Nanoscale 2013, 5, 9324.",6.1,,,,,37,,,,,,PSEHTT:ICBA,,,,,,,,1.86,,,,66.8,10.2,,,,,,,890
"W. Jose da Silva, H. P. Kim, A. Rashid bin Mohd Yusoff, J. Jang, Nanoscale 2013, 5, 9324.",4.9,,,,,39,,,,,,PSEHTT:ICBA,,,,,,,,1.86,,,,67.9,8.3,,,,,,,880
"Y. Li, X. Guo, Z. Peng, B. Qu, H. Yan, H. Ade, M. Zhang, S. R. Forrest, Proc. Natl. Acad. Sci. USA 2020, 117, 21147.",8.1,,,,,43,,,,,,PCE-10:A078,,,,,,,,1.34,,,,68.1,16.3,,,,,,,730
"Y. Li, C. Ji, Y. Qu, X. Huang, S. Hou, C.-Z. Li, L.-S. Liao, L. J. Guo, S. R. Forrest, Adv. Mater. 2019, 31, 1903173.",8,,,,,44,,,,,,PCE-10:BT-CIC:TT-FIC,,,,,,,,1.37,,,,72.6,16.2,,,,,,,680
"Y. Li, X. Guo, Z. Peng, B. Qu, H. Yan, H. Ade, M. Zhang, S. R. Forrest, Proc. Natl. Acad. Sci. USA 2020, 117, 21147.",10.8,,,,,46,,,,,,PCE-10:A078,,,,,,,,1.34,,,,70.6,20.4,,,,,,,750
"Y. Li, X. Guo, Z. Peng, B. Qu, H. Yan, H. Ade, M. Zhang, S. R. Forrest, Proc. Natl. Acad. Sci. USA 2020, 117, 21147.",7.1,,,,,47,,,,,,PCE-10:A078,,,,,,,,1.34,,,,68,14.3,,,,,,,730
"W. Jose da Silva, H. P. Kim, A. Rashid bin Mohd Yusoff, J. Jang, Nanoscale 2013, 5, 9324.",2.4,,,,,47,,,,,,PSEHTT:ICBA,,,,,,,,1.86,,,,68.2,4.1,,,,,,,860
"Y. Li, C. Ji, Y. Qu, X. Huang, S. Hou, C.-Z. Li, L.-S. Liao, L. J. Guo, S. R. Forrest, Adv. Mater. 2019, 31, 1903173.",7.2,,,,,49,,,,,,PCE-10:BT-CIC:TT-FIC,,,,,,,,1.37,,,,72.6,14.8,,,,,,,670
"Q. Liu, L. G. Gerling, F. Bernal-Texca, J. Toudert, T. Li, X. Zhan, J. Martorell, Adv. Energy Mater. 2020, 10, 1904196.",8.3,,,,,50,,,,,,PTB7-Th:FOIC:PC71BM,,,,,,,,1.38,,,,66.8,16.7,,,,,,,746
"Q. Liu, L. G. Gerling, F. Bernal-Texca, J. Toudert, T. Li, X. Zhan, J. Martorell, Adv. Energy Mater. 2020, 10, 1904196.",7.4,,,,,51,,,,,,PTB7:FOIC:PC71BM,,,,,,,,1.39,,,,66.7,14.7,,,,,,,749
"W. Jose da Silva, H. P. Kim, A. Rashid bin Mohd Yusoff, J. Jang, Nanoscale 2013, 5, 9324.",1.8,,,,,53,,,,,,PSEHTT:ICBA,,,,,,,,1.86,,,,54.8,3.8,,,,,,,890
"J. Lee, H. Cha, H. Yao, J. Hou, Y.-H. Suh, S. Jeong, K. Lee, J. R. Durrant, ACS Appl. Mater. Interfaces 2020, 12, 32764.",5.7,,,,,53,,,,,,DPP2T:IEICO-4F,,,,,,,,1.32,,,,69.5,10.6,,,,,,,750
"J. Lee, H. Cha, H. Yao, J. Hou, Y.-H. Suh, S. Jeong, K. Lee, J. R. Durrant, ACS Appl. Mater. Interfaces 2020, 12, 32764.",3.9,,,,,60,,,,,,DPP2T:IEICO-4F,,,,,,,,1.33,,,,70.2,7.34,,,,,,,749
"L. Zuo, X. Shi, W. Fu, A. K.-Y. Jen, Adv. Mater. 2019, 31, 1901683.",5.9,,,,,62,,,,,,PTB7-Th:6TIC-4F,,,,,,,,1.33,,,,66,12.9,,,,,,,690
"C. Yang, M. Moemeni, M. Bates, W. Sheng, B. Borhan, R. R. Lunt, Adv. Opt. Mater. 2020, 8, 1901536.",1.2,,,,,73,,,,,,COi8DFIC,,,,,,,,1.5,,,,81,1.54,,,,,,,990
"Y. Zhao, R. R. Lunt, Adv. Energy Mater. 2013, 3, 1143.",0.4,,,,,84,,,,,,PBMMA:PEMA:(TBA)2Mo6Cl14,,,,,,,,2.81,,,,65,1.3,,,,,,,520
"Y. Zhao, G. A. Meek, B. G. Levine, R. R. Lunt, Adv. Opt. Mater. 2014, 2, 606.",0.4,,,,,86,,,,,,Cy7,,,,,,,,1.52,,,,66,1.2,,,,,,,500
"C. López-López, S. Colodrero, H. Míguez, Phys. Chem. Chem. Phys. 2014, 16, 663.",5.2,,,,,1,,,,,,N719,,,,,,,,2,,,,53.7,12.4,,,,,,,780
"C. López-López, S. Colodrero, H. Míguez, Phys. Chem. Chem. Phys. 2014, 16, 663.",4.5,,,,,9,,,,,,N719,,,,,,,,2,,,,56,10.3,,,,,,,780
"D. Colonna, V. Capogna, A. Lembo, T. M. Brown, A. Reale, A. D. Carlo, Appl. Phys. Express 2012, 5, 022303.",4.3,,,,,9,,,,,,N719+SDA,,,,,,,,1.82,,,,60,9.9,,,,,,,720
"D. Colonna, V. Capogna, A. Lembo, T. M. Brown, A. Reale, A. D. Carlo, Appl. Phys. Express 2012, 5, 022303.",5.2,,,,,10,,,,,,N719,,,,,,,,2.01,,,,57,11.9,,,,,,,770
"C. López-López, S. Colodrero, H. Míguez, Phys. Chem. Chem. Phys. 2014, 16, 663.",4.9,,,,,10,,,,,,N719,,,,,,,,2,,,,56.1,11.4,,,,,,,765
"M. Aftabuzzaman, C. K. Kim, H. Zhou, H. K. Kim, Nanoscale 2020, 12, 1602.",10.1,,,,,13,,,,,,SGT-021,,,,,,,,1.68,,,,80.2,14.9,,,,,,,851
"M. Aftabuzzaman, C. K. Kim, H. Zhou, H. K. Kim, Nanoscale 2020, 12, 1602.",9.9,,,,,14,,,,,,SGT-021,,,,,,,,1.68,,,,78.5,14.9,,,,,,,850
"M. Aftabuzzaman, C. K. Kim, H. Zhou, H. K. Kim, Nanoscale 2020, 12, 1602.",9.6,,,,,15,,,,,,SGT-021,,,,,,,,1.68,,,,77.2,14.7,,,,,,,850
"M. Aftabuzzaman, C. K. Kim, H. Zhou, H. K. Kim, Nanoscale 2020, 12, 1602.",9.8,,,,,17,,,,,,SGT-021,,,,,,,,1.68,,,,75.5,15.1,,,,,,,855
"D. Colonna, V. Capogna, A. Lembo, T. M. Brown, A. Reale, A. D. Carlo, Appl. Phys. Express 2012, 5, 022303.",4.2,,,,,23,,,,,,N719+SDA,,,,,,,,1.82,,,,64,9.9,,,,,,,650
"D. Colonna, V. Capogna, A. Lembo, T. M. Brown, A. Reale, A. D. Carlo, Appl. Phys. Express 2012, 5, 022303.",3.6,,,,,23,,,,,,N719,,,,,,,,2.01,,,,68,8.2,,,,,,,650
"C. López-López, S. Colodrero, H. Míguez, Phys. Chem. Chem. Phys. 2014, 16, 663.",3.5,,,,,24,,,,,,N719,,,,,,,,2,,,,60.9,7.3,,,,,,,786
"D. Colonna, V. Capogna, A. Lembo, T. M. Brown, A. Reale, A. D. Carlo, Appl. Phys. Express 2012, 5, 022303.",2.6,,,,,25,,,,,,N719+SDA,,,,,,,,1.82,,,,71,5.6,,,,,,,650
"D. Colonna, V. Capogna, A. Lembo, T. M. Brown, A. Reale, A. D. Carlo, Appl. Phys. Express 2012, 5, 022303.",1.5,,,,,30,,,,,,N719,,,,,,,,2.19,,,,70,3.3,,,,,,,640
"K. Kim, S. K. Nam, J. H. Moon, ACS Appl. Energy Mater. 2020, 3, 5277.",7.8,,,,,43,,,,,,PdTPBP/BPEA,,,,,,,,1.95,,,,70.8,15.3,,,,,,,720
"M. J. Shin, J. H. Jo, A. Cho, J. Gwak, J. H. Yun, K. Kim, S. K. Ahn, J. H. Park, J. Yoo, I. Jeong, B.-H. Choi, J.-S. Cho, Sol. Energy 2019, 181, 276.",10,,,,,2,,,,CIGS,,,,,,,,,,1.23,,,,66.9,23.3,,,,,,,640
"M. J. Shin, J. H. Jo, A. Cho, J. Gwak, J. H. Yun, K. Kim, S. K. Ahn, J. H. Park, J. Yoo, I. Jeong, B.-H. Choi, J.-S. Cho, Sol. Energy 2019, 181, 276.",9.8,,,,,9,,,,CIGS,,,,,,,,,,1.3,,,,74.1,20.9,,,,,,,630
"K. Kim, W. N. Shafarman, Nano Energy 2016, 30, 488.",6.5,,,,,9,,,,CIGS,,,,,,,,,,1.28,,,,46.5,22.9,,,,,,,597
"J.-S. Cho, Y. H. Seo, B.-H. Choi, A. Cho, A. Lee, M. J. Shin, K. Kim, S. K. Ahn, J. H. Park, J. Yoo, D. Shin, I. Jeong, J. Gwak, Sol. Energy Mater. Sol. Cells 2019, 202, 110078.",7.5,,,,,16,,,,a-Si:H,,,,,,,,,,1.83,,,,65.3,14.2,,,,,,,810
"J.-S. Cho, Y. H. Seo, B.-H. Choi, A. Cho, A. Lee, M. J. Shin, K. Kim, S. K. Ahn, J. H. Park, J. Yoo, D. Shin, I. Jeong, J. Gwak, Sol. Energy Mater. Sol. Cells 2019, 202, 110078.",7.7,,,,,17,,,,a-Si:H,,,,,,,,,,1.83,,,,67.3,14.1,,,,,,,810
"J. W. Lim, S. H. Lee, D. J. Lee, Y. J. Lee, S. J. Yun, Thin Solid Films 2013, 547, 212.",5.9,,,,,18,,,,a-SiGe:H,,,,,,,,,,2.05,,,,58.3,14.1,,,,,,,720
"J.-S. Cho, Y. H. Seo, B.-H. Choi, A. Cho, A. Lee, M. J. Shin, K. Kim, S. K. Ahn, J. H. Park, J. Yoo, D. Shin, I. Jeong, J. Gwak, Sol. Energy Mater. Sol. Cells 2019, 202, 110078.",7.3,,,,,19,,,,a-Si:H,,,,,,,,,,1.87,,,,67.6,13.1,,,,,,,820
"M. J. Shin, J. H. Jo, A. Cho, J. Gwak, J. H. Yun, K. Kim, S. K. Ahn, J. H. Park, J. Yoo, I. Jeong, B.-H. Choi, J.-S. Cho, Sol. Energy 2019, 181, 276.",6.5,,,,,19,,,,CIGS,,,,,,,,,,1.34,,,,63.5,17.5,,,,,,,580
"S. H. Moon, S. J. Park, Y. J. Hwang, D.-K. Lee, Y. Cho, D.-W. Kim, B. K. Min, Sci. Rep. 2014, 4, 4408.",1.7,,,,,20,,,,CIGS,,,,,,,,,,1.64,,,,40.8,8.9,,,,,,,495
"J. W. Lim, S. H. Lee, D. J. Lee, Y. J. Lee, S. J. Yun, Thin Solid Films 2013, 547, 212.",5.5,,,,,22,,,,a-Si:H,,,,,,,,,,2.05,,,,58.6,12.3,,,,,,,760
"J.-S. Cho, Y. H. Seo, B.-H. Choi, A. Cho, A. Lee, M. J. Shin, K. Kim, S. K. Ahn, J. H. Park, J. Yoo, D. Shin, I. Jeong, J. Gwak, Sol. Energy Mater. Sol. Cells 2019, 202, 110078.",6,,,,,23,,,,a-Si:H,,,,,,,,,,1.92,,,,68.2,10.6,,,,,,,830
"J. Wook Lim, M. Shin, D. J. Lee, S. Hyun Lee, S. Jin Yun, Sol. Energy Mater. Sol. Cells 2014, 128, 301.",6.9,,,,,24,,,,a-Si:H,,,,,,,,,,1.68,,,,70.3,10.7,,,,,,,920
"M. Saifullah, S. Ahn, J. Gwak, S. Ahn, K. Kim, J. Cho, J. H. Park, Y. J. Eo, A. Cho, J.-S. Yoo, J. H. Yun, J. Mater. Chem. A 2016, 4, 10542.",5.9,,,,,26,,,,CIGS,,,,,,,,,,1.5,,,,57.4,14.6,,,,,,,710
"A. Mutalikdesai, S. K. Ramasesha, Thin Solid Films 2017, 632, 73.",0.4,,,,,43,,,,CdTe,,,,,,,,,,1.53,,,,27.2,14.7,,,,,,,101
"X. Zheng, Y. Hou, C. Bao, J. Yin, F. Yuan, Z. Huang, K. Song, J. Liu, J. Troughton, N. Gasparini, C. Zhou, Y. Lin, D.-J. Xue, B. Chen, A. K. Johnston, N. Wei, M. N. Hedhili, M. Wei, A. Y. Alsalloum, P. Maity, B. Turedi, C. Yang, D. Baran, T. D. Anthopoulos, Y. Han, Z.-H. Lu, O. F. Mohammed, F. Gao, E. H. Sargent, O. M. Bakr, Nat. Energy 2020, 5, 131.",,21.8,22,,21.8,,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,,,,,,,,,"MPP, AM1.5G, N2, 40 °C, UV-f",,4.2,22,1.57,,,,,,,,,,,,
"D. Bi, X. Li, J. V. Milić, D. J. Kubicki, N. Pellet, J. Luo, T. LaGrange, P. Mettraux, L. Emsley, S. M. Zakeeruddin, M. Grätzel, Nat. Commun. 2018, 9, 4482.",,20.6,20.2,,20.2,,FAxCs1−xPbI3,,,,,,,,,"MPP, w-LED, Ar, 55 60 °C",,4.1,20.1,1.57,,,,,,,,,,,,
"S. Bai, P. Da, C. Li, Z. Wang, Z. Yuan, F. Fu, M. Kawecki, X. Liu, N. Sakai, J. T.-W. Wang, S. Huettner, S. Buecheler, M. Fahlman, F. Gao, H. J. Snaith, Nature 2019, 571, 245.",,19.2,19.3,,18.4,,(FA0.83MA0.17)0.95Cs0.05Pb(I0.9Br0.1)3,,,,,,,,,"OC, AM1.5G, encapsulation, 70 75 °C",,3.9,19,1.58,,,,,,,,,,,,
"A. D. Jodlowski, C. Roldán-Carmona, G. Grancini, M. Salado, M. Ralaiarisoa, S. Ahmad, N. Koch, L. Camacho, G. de Miguel, M. K. Nazeeruddin, Nat. Energy 2017, 2, 972.",,17.1,11.6,,9.5,,MA0.85Gua0.15PbI3,,,,,,,,,"MPP, AM1.5G, Ar, 60 °C",,2.8,11.1,1.59,,,,,,,,,,,,
"L. Wang, H. Zhou, J. Hu, B. Huang, M. Sun, B. Dong, G. Zheng, Y. Huang, Y. Chen, L. Li, Z. Xu, N. Li, Z. Liu, Q. Chen, L.-D. Sun, C.-H. Yan, Science 2019, 363, 265.",,19.2,19.5,,17.6,,MAPbI3−xClx,,,,,,,,,"OC, AM1.5G",,4.1,19.1,1.6,,,,,,,,,,,,
"S. Yang, S. Chen, E. Mosconi, Y. Fang, X. Xiao, C. Wang, Y. Zhou, Z. Yu, J. Zhao, Y. Gao, F. De Angelis, J. Huang, Science 2019, 365, 473.",,19.6,19.6,,18.8,,Cs0.05FA0.81MA0.14PbI2.55Br0.45,,,,,,,,,"MPP-RL, AM1.5G, encapsulation, 50 70% RH, 65 °C",,3.9,19.4,1.6,,,,,,,,,,,,
"A. D. Jodlowski, C. Roldán-Carmona, G. Grancini, M. Salado, M. Ralaiarisoa, S. Ahmad, N. Koch, L. Camacho, G. de Miguel, M. K. Nazeeruddin, Nat. Energy 2017, 2, 972.",,18.1,11.9,,13.6,,MA0.75Gua0.25PbI3,,,,,,,,,"MPP, AM1.5G, Ar, 60 °C",,2.6,13,1.61,,,,,,,,,,,,
"J. A. Christians, P. Schulz, J. S. Tinkham, T. H. Schloemer, S. P. Harvey, B. J. Tremolet de Villers, A. Sellinger, J. J. Berry, J. M. Luther, Nat. Energy 2018, 3, 68.",,12.2,13.3,,12.3,,(FA0.79MA0.16Cs0.05)0.97Pb(I0.84Br0.16)2.97,,,,,,,,,"77 mW cm−2, MPP-RL, AM1.5G, RH<25%, 26 °C",,2.1,9.9,1.63,,,,,,,,,,,,
"M. Saliba, T. Matsui, J.-Y. Seo, K. Domanski, J.-P. Correa-Baena, M. K. Nazeeruddin, S. M. Zakeeruddin, W. Tress, A. Abate, A. Hagfeldt, M. Grätzel, Energy Environ. Sci. 2016, 9, 1989.",,20.1,17.8,, ,,Cs0.1(MA0.17FA0.83)0.9Pb(I0.83Br0.17)3,,,,,,,,,"MPP, w-LED, N2, 25 °C",,3.7, ,1.64,,,,,,,,,,,,
"K. Domanski, E. A. Alharbi, A. Hagfeldt, M. Grätzel, W. Tress, Nat. Energy 2018, 3, 61.",,19.7,17.2,, ,,Cs0.5(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,,,,,,,,,"MPP, w-LED, N2, 20 °C",,3.5, ,1.64,,,,,,,,,,,,
"K. A. Bush, A. F. Palmstrom, Z. J. Yu, M. Boccard, R. Cheacharoen, J. P. Mailoa, D. P. McMeekin, R. L. Z. Hoye, C. D. Bailie, T. Leijtens, I. M. Peters, M. C. Minichetti, N. Rolston, R. Prasanna, S. Sofia, D. Harwood, W. Ma, F. Moghadam, H. J. Snaith, T. Buonassisi, Z. C. Holman, S. F. Bent, M. D. McGehee, Nat. Energy 2017, 2, 17009.",,13,14.7,,13,,Cs0.17FA0.83Pb(Br0.17I0.83)3,,,,,,,,,"MPP, AM1.5G, 40% RH, 35 °C",,2.8,14.1,1.66,,,,,,,,,,,,
"M. Chen, M.-G. Ju, H. F. Garces, A. D. Carl, L. K. Ono, Z. Hawash, Y. Zhang, T. Shen, Y. Qi, R. L. Grimm, D. Pacifici, X. C. Zeng, Y. Zhou, N. P. Padture, Nat. Commun. 2019, 10, 16.",,6.8,6.7,, ,,CsSn0.5Ge0.5I3,,,,,,,,,"MPP , AM1.5G, N2, 45 °C",,1.3, ,1.69,,,,,,,,,,,,
"P. Wang, X. Zhang, Y. Zhou, Q. Jiang, Q. Ye, Z. Chu, X. Li, X. Yang, Z. Yin, J. You, Nat. Commun. 2018, 9, 2225.",,12.9,13.4,, ,,CsPbI3,,,,,,,,,"OC, AM1.5G, N2, 25 °C, UV-f",,2.7, ,1.74,,,,,,,,,,,,
"X. Du, T. Heumueller, W. Gruber, A. Classen, T. Unruh, N. Li, C. J. Brabec, Joule 2019, 3, 215.",,7.8,7.2,,6.8,,,,,,,PBDB-T:ITIC-2F,,,,"OC, w-LED, N2, 40 °C, UV-f",,1.5,7,1.56,,,,,,,,,,,,
"C. Xie, T. Heumüller, W. Gruber, X. Tang, A. Classen, I. Schuldes, M. Bidwell, A. Späth, R. H. Fink, T. Unruh, I. McCulloch, N. Li, C. J. Brabec, Nat. Commun. 2018, 9, 5335.",,5,5,,4.7,,,,,,,P3HT:o-IDTBR,,,,"OC, AM1.5G, N2, UV-f",,1,4.8,1.57,,,,,,,,,,,,
